AssetName,AssetCode,InvestmentStrategy,AcquisitionType,AcquisitionDate,SaleDate,IsTaxCredit,ActualStabilizationDate,AreaType,AssetClass,AssetStyle,StabilizationStatus,OccupancyStabilizationDate,AxiometricsMSAID,AxiometricsSubMarketID,CoStarSubMarketID,CBSAID,oslPropertyID,oslSubPropertyID,AverageBuildYear,YearBuiltEnd,YearRenovated,CurrentUnitCount,RentableSquareFoot,ConstructionBeginDate,ConstructionEndDate,Acreage,AcquisitionPrice,TotalHardCosts,TotalSoftAndClosingCosts,TotalProjectCosts,IsSeniorHousing,IsUnitReno,IsRecapitalization,ZipCode,Latitude,Longitude,WebAddress,EmailAddress,osaEntityID,Phone,Address1,PlannedUnitCount,LegalName,TaxID,Portfolio,City,StateCode
"Cortland Powers North","corpnPP80917",,,,,False,,,,,"Non-Stabilized",,,,,,,,,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,
"Cortland South Kendall - Phase 2","corsk233177","Opportunistic","Development",2021-11-30 00:00:00.0000000,,False,2023-11-14 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2023-11-14 00:00:00.0000000,33124,6,7609,33100,5076050,1892,2022.000000,2023,,192,197322,2021-12-01 00:00:00.0000000,2023-04-01 00:00:00.0000000,,,,15199000,70197000,False,False,False,"33177-1400",25.625659,-80.394886,"cortland.com/south-kendall","southkendall@cortland.com","southkendall2","(786) 829-7201","15520 SW 127th Ave",192,"SW 127th FL Partners-Phase 2, LLC (DE)","87-3576326","Oaktree","Miami","FL"
"Cleburne Terrace","clebt76033",,,,,False,,"Suburban",,"Garden-Style","Non-Stabilized",,23104,14,7525,19100,3388195,232,1999.000000,1999,,,,,,,5500000,,,,False,False,False,"76033-7052",32.341613,-97.423841,"www.cleburne-terrace.com","cleburneterrace@cortlandpartners.com","cleburne","(817) 645-4124","1661 Woodard Ave",,,,,"Cleburne","TX"
"Cortland Meridian","mer43212","Value-Add","Acquisition",2016-02-26 00:00:00.0000000,2020-02-28 00:00:00.0000000,False,2018-07-29 00:00:00.0000000,"Infill","B","Garden-Style","Stabilized",2018-07-29 00:00:00.0000000,18140,1,8024,18140,3862655,413,2001.000000,2001,,480,418668,2016-06-30 00:00:00.0000000,2018-06-30 00:00:00.0000000,10.1,77280000,10043181.366800001,1868246.8854,89191428.252200007,False,True,False,"43212-2665",39.988981,-83.029224,"cortland.com/meridian","meridian@cortland.com","meridian","(614) 291-0027","1401 Aschinger Blvd",,"Aschinger OH Partners, LLC","81-1151473","Portfolio 16","Columbus","OH"
"Park West Senior","avps30318","Opportunistic","Development",2008-03-01 00:00:00.0000000,,True,2012-06-12 00:00:00.0000000,"Infill","B","Garden-Style","Stabilized",2012-06-12 00:00:00.0000000,12060,6,6751,12060,2690932,12,2009.000000,2009,,136,105600,,2012-04-30 00:00:00.0000000,11.119999999999999,3500000,0,44417.684200000003,3544417.6842,True,False,False,"30318-6071",33.776686,-84.478224,"www.cortland.com/park-west","parkwest@cortland.com","avaprks","(404) 799-8181","2798 Peek Rd NW",,"Provenance at Hollowell Senior, LP","34-2043135","Stand-alone","Atlanta","GA"
"Cortland Chandler Crossing","sanbcbre85226","Value-Add","Acquisition",2021-05-07 00:00:00.0000000,,False,2023-01-30 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2023-01-30 00:00:00.0000000,38060,18,7842,38060,4559238,1511,1996.000000,1996,,208,209284,,,12.960000000000001,53500000,7291715.3044166798,981156.38184662501,61772871.6862633,False,True,False,"85226-6086",33.317827,-111.929564,"cortland.com/chandler-crossing","chandlercrossing@cortland.com","sanbrisascbre","(480) 470-6628","900 N Rural Rd",,"PURE SAN BRISAS APTS LLC","47-1565439","Portfolio 22","Chandler","AZ"
"1201 Park","1201p75074","Opportunistic","Acquisition",2012-03-16 00:00:00.0000000,2021-01-07 00:00:00.0000000,False,2017-01-31 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2017-01-31 00:00:00.0000000,19124,27,7538,19100,2691033,25,1992.000000,1996,,368,273680,,,21.399999999999999,22064363,3048465.5600000001,968124.45999999996,26080953.02,False,True,False,"75074-5335",33.033822,-96.696258,"http://www.1201park.com/","1201Park@cortland.com","lajolla","(972) 516-9595","1201 E Park Blvd",,"Park Blvd TX Partners, LLC","45-3203597","Portfolio Zero","Plano","TX"
"Cortland Satori - Phase 2","cosaoef233782","Core-plus","Acquisition",2022-06-28 00:00:00.0000000,,False,2022-11-24 00:00:00.0000000,"Suburban","A","Garden-style","Stabilized",2022-11-24 00:00:00.0000000,45300,11,7909,45300,4910056,1831,2020.000000,2020,,171,168737,2021-04-30 00:00:00.0000000,2022-09-30 00:00:00.0000000,,44434000,392450,582116,44408566,False,False,False,"33782-6151",27.849372,-82.678378,"cortland.com/satori","Satori@cortland.com","satorioef","(727) 306-2785","3110 Grand Ave",,"DD Gandy 12.98 LLC","83-2495528","CGI","Pinellas Park","FL"
"Cortland Med Center","vilc77054","Value-Add","Acquisition",2018-08-17 00:00:00.0000000,2024-09-20 00:00:00.0000000,False,2020-08-17 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2020-08-17 00:00:00.0000000,26420,6,7018,26420,4372072,1025,2005.000000,2005,,344,283737,2018-08-31 00:00:00.0000000,2020-02-29 00:00:00.0000000,15.470000000000001,44520000,9138901,1838130,55497031,False,True,False,"77054-2405",29.670297,-95.418983,"cortland.com/med-center","medcenter@cortland.com","coronado","(713) 903-2419","9111 Lakes At 610 Dr",,"Lakes TX Partners LLC","35-2634263","Portfolio 18","Houston","TX"
"Cortland MacArthur","alngbre75063","Core-Plus","Acquisition",2020-02-28 00:00:00.0000000,,False,2018-03-01 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2018-03-01 00:00:00.0000000,19124,17,7527,19100,3835766,1343,1999.000000,1999,,590,522290,,,24.440000000000001,109065833,,,,False,True,True,"75063-7224",32.915303,-96.951927,"cortland.com/macarthur","macarthur@cortland.com","aleobre","(214) 441-7453","7904 N Glen Dr",,,"84-4601448","Acorn 1","Irving","TX"
