AssetCode,ParentAssetCode,AssetType,AssetName,ParentAssetName,MarketName,AxiometricsSubMarketName,AxioMarketSubmarketID,AxioMarketID,AxiometricsSubMarketID,AxiometricsPropertyNumber,StateCode,InvestmentStrategy,IsTaxCredit,IsRecapitalization,AcquisitionType,IsInDevelopment,IsSeniorHousing,Portfolio,SubPortfolio,FundName,StabilizationStatus,ActualStabilizationDate,AssetClass,oslPropertyID,oslSubPropertyNumberID,UltiProLocationCode,AverageBuildYear,CurrentUnitCount,PlannedUnitCount,AcquisitionDate,SaleDate,FirstFullMonthID,LastFullMonthID,AssetLegalName,AssetTaxID,AssetAddress,City,ZIPCode,AssetPhone,AssetPhone2,AssetEmail,AssetURL,EmpManagingDirector,EmpEVP,EmpDirectorOfInvestments,EmpDirectorOfOperations,EmpCommunityManager,EmpRegionalFacilitiesManager,EmpRegionalMarketingManager,EmpPropertyAssistantController,EmpRevenueManager,EmpRegionalCFDManager,EmpRegionalPestManager,EmpRegionalLandscapingManager,EmpSeniorRegionalFacilitiesManager,IsCurrentOSLPropertyID,osaEntityID,TotalHardCosts,AxiometricsMSAID,AssetStyle,DistinctCurrentUnitCount,InitialEntityAssetCode,InitialEntityAcquisitionDate,OccupancyStabilizationDate,IsActiveProperty,EquityPartner1,EquityPartner2,IsUnitReno,AcquisitionDevelopmentFee,ConstructionManagementFee,PropertyManagementFee,AssetManagementFeeBasis,AssetManagementFeeAmount,DueDiligenceFee,DesignFeeBasis,DesignFeeAmount,SupportServiceFeePerUnitAnnual,MarketingSoftwareFeePerUnitAnnual,AdminSoftwareFeePerUnitAnnual,LicensingFeePerUnitMonthly,EquityPartnerConcat,SameStoreSale,FunnelGroupId
"avr30354",,"Property","East Ridge Park","East Ridge Park","Atlanta-Sandy Springs-Roswell, GA","Southeast Atlanta","12060-4","12060",4,,"GA","Opportunistic",True,False,"Development",0,False,"Stand-alone","Avalon Ridge",,"Non-Stabilized",,"B",2690946,1,2065,2009.000000,221,,2007-10-09 00:00:00.0000000,,201107,202501,"Terraces III, LP","11-3774982","183 Mount Zion Rd SE","Atlanta","30354-2138","(404) 343-7200","(404) 343-7201","eastridgepark@cortland.com","cortland.com/east-ridge-park","Tiffany Barnett","Michael Kolshak","David Wade","Eboni Jackson","Melissa Scruggs","Andrey Allicock","Natalie Ross","Rosanne Ippolito","Jason Halpert","Michael Woodburn","Corey Pilkenton","John Oubre","Brandon Center",True,"avalrid",0,12060,"Garden-Style",221.00000000723387,"avr30354",2007-10-09 00:00:00.0000000,,1,"Cortland",,False,,,0.040000000000000001,,,,,,,,,,"Cortland",0,
"avpf30318",,"Property","Park West Family","Park West Family","Atlanta-Sandy Springs-Roswell, GA","West Atlanta","12060-6","12060",6,43811,"GA","Opportunistic",True,False,"Development",0,False,"Stand-alone","Avalon Park Family",,"Stabilized",2012-07-01 00:00:00.0000000,"B",2690919,1,2063,2009.000000,175,,2008-03-01 00:00:00.0000000,,201107,202501,"Provenance at Hollowell Family, LP","34-2043137","2798 Peek Rd NW","Atlanta","30318-6071","(404) 799-3131","(404) 425-5064","parkwest@cortland.com","www.cortland.com/park-west","Tiffany Barnett","Michael Kolshak","David Wade","Eboni Jackson","Janet Wallace","Andrey Allicock","Natalie Ross","Candice Davenport","Jason Halpert","Michael Woodburn","Corey Pilkenton","John Oubre","Brandon Center",True,"avaprkf",0,12060,"Garden-Style",175.00000000109006,"avpf30318",2008-03-01 00:00:00.0000000,2012-07-01 00:00:00.0000000,1,"Cortland",,False,,,0.050000000000000003,,,,,,,,,,"Cortland",1,
"avps30318",,"Property","Park West Senior","Park West Senior","Atlanta-Sandy Springs-Roswell, GA","West Atlanta","12060-6","12060",6,,"GA","Opportunistic",True,False,"Development",0,True,"Stand-alone","Avalon Park Senior",,"Stabilized",2012-06-12 00:00:00.0000000,"B",2690932,1,2066,2009.000000,136,,2008-03-01 00:00:00.0000000,,201107,202501,"Provenance at Hollowell Senior, LP","34-2043135","2798 Peek Rd NW","Atlanta","30318-6071","(404) 799-8181","(404) 799-3131","parkwest@cortland.com","www.cortland.com/park-west","Tiffany Barnett","Michael Kolshak","N/A","Eboni Jackson","Janet Wallace","Andrey Allicock","Natalie Ross","Candice Davenport","Jason Halpert","Michael Woodburn","Corey Pilkenton","John Oubre","Brandon Center",True,"avaprks",0,12060,"Garden-Style",136.00000000426135,"avps30318",2008-03-01 00:00:00.0000000,2012-06-12 00:00:00.0000000,1,"Cortland",,False,,,0.050000000000000003,,,,,,,,,,"Cortland",1,
"corp30342",,"Property","Perimeter 5550","Perimeter 5550","Atlanta-Sandy Springs-Roswell, GA","Buckhead","12060-7","12060",7,9566,"GA","Value-add",False,False,"Acquisition",0,False,"3rd Party Management","Project Rock",,"Stabilized",2024-01-17 00:00:00.0000000,"B",4971380,1,4260,1996.000000,164,165,2022-05-19 00:00:00.0000000,,202206,202501,"RRE Berkeley Trace Holdings LLC","81-3506451","5550 Glenridge Dr","Sandy Springs","30342-1300","(470) 235-3453","","perimeter5550@cortland.com","cortland.com/perimeter-5550","Tiffany Barnett","Michael Kolshak","David Wade","Weber Jodesty","Donna Milam","Ben Burgoon","Natalie Ross","Renita Lott","Melissa Jones","Michael Woodburn","Corey Pilkenton","John Oubre","Brandon Center",True,"perimeter5550",,12060,"Garden-style",164.00000000515087,"corp30342",2022-05-19 00:00:00.0000000,2024-01-17 00:00:00.0000000,1,"Blackstone",,True,,,,,,,,,,,,,"Blackstone",0,3751
"corpb30305",,"Property","Cortland Peachtree Battle","Cortland Peachtree Battle","Atlanta-Sandy Springs-Roswell, GA","Buckhead","12060-7","12060",7,50148,"GA","Value-add",False,False,"Acquisition",0,False,"Stand-alone","N/A","CP Fund VI","Non-Stabilized",,"A",5383437,1,,2015.000000,186,186,2024-08-20 00:00:00.0000000,,202409,202501,"Peachtree Road GA Partners, LLC","99-4355024","2420 Peachtree Rd NW","Atlanta","30305-4167","(770) 697-0276","","peachtreebattledistro@cortland.com","cortland.com/peachtree-battle","Tiffany Barnett","Michael Kolshak","David Wade","Patrick Hollon","Sarah Cash","Ben Burgoon","Natalie Ross","Claudine Romain","N/A","N/A","Corey Pilkenton","John Oubre","Brandon Center",True,"ptbattle",6484304,12060,"High-rise",186.00000000580638,"corpb30305",2024-08-20 00:00:00.0000000,,1,"Fund VI",,False,,,,,,,,,,,,,"Fund VI",0,6044
"corpc30342",,"Property","Perimeter Circle","Perimeter Circle","Atlanta-Sandy Springs-Roswell, GA","Buckhead","12060-7","12060",7,10687,"GA","Value-add",False,False,"Acquisition",0,False,"3rd Party Management","Project Rock",,"Stabilized",2024-03-01 00:00:00.0000000,"A",4971387,1,4261,1995.000000,194,194,2022-05-19 00:00:00.0000000,,202206,202501,"RRE Berkeley Run Holdings LLC","81-3506451","5470 Glenridge Dr","Sandy Springs","30342-1360","(678) 712-3842","","perimetercircle@cortland.com","cortland.com/perimeter-circle","Tiffany Barnett","Michael Kolshak","David Wade","Weber Jodesty","Donna Milam","Ben Burgoon","Natalie Ross","Jeff Brzinski","Joshua Bivens","Michael Woodburn","Corey Pilkenton","John Oubre","Brandon Center",True,"glenridge",,12060,"Mid-rise",194.00000000181186,"corpc30342",2022-05-19 00:00:00.0000000,2024-03-01 00:00:00.0000000,1,"Blackstone",,True,,,,,,,,,,,,,"Blackstone",0,3752
"corub30342",,"Property","Cortland Uptown Buckhead","Cortland Uptown Buckhead","Atlanta-Sandy Springs-Roswell, GA","Buckhead","12060-7","12060",7,9296,"GA","Core-plus",False,False,"Acquisition",0,False,"3rd Party Management","Project Rock",,"Stabilized",2023-07-29 00:00:00.0000000,"A",4971417,1,4263,1989.000000,215,216,2022-05-19 00:00:00.0000000,,202206,202501,"RRE Buckhead Holdings LLC","81-3506451","3707 Roswell Rd NE","Atlanta","30342-4426","(470) 467-8193","","uptownbuckhead@cortland.com","cortland.com/uptown-buckhead","Tiffany Barnett","Michael Kolshak","David Wade","Weber Jodesty","Morgan Walker","Ben Burgoon","Natalie Ross","Renita Lott","Zack Knab","Michael Woodburn","Corey Pilkenton","John Oubre","Brandon Center",True,"uptownbuckhead",,12060,"Garden-style",215.00000000687288,"corub30342",2022-05-19 00:00:00.0000000,2023-07-29 00:00:00.0000000,1,"Blackstone",,True,,,,,,,,,,,,,"Blackstone",1,3755
"dompp30326",,"Property","Cortland at Phipps Plaza","Cortland at Phipps Plaza","Atlanta-Sandy Springs-Roswell, GA","Buckhead","12060-7","12060",7,43293,"GA","Core-Plus",False,False,"Acquisition",0,False,"YieldCo IV","YieldCo IV",,"Stabilized",2020-09-04 00:00:00.0000000,"A",4450019,1,2950,2017.000000,313,,2019-01-31 00:00:00.0000000,,201902,202501,,,"707 Park Ave NE","Atlanta","30326-3401","(404) 476-6495","","phippsplaza@cortland.com","www.cortlandphippsplaza.com","Tiffany Barnett","Michael Kolshak","David Wade","Weber Jodesty","Morgan Walker","Ben Burgoon","Natalie Ross","Steven Rao","Zack Knab","Michael Woodburn","Corey Pilkenton","John Oubre","Brandon Center",True,"phipps",3057493,12060,"Garden-Style",313.0000000031601,"dompp30326",2019-01-31 00:00:00.0000000,2020-09-04 00:00:00.0000000,1,"CBRE",,True,,214025,0.035000000000000003,,,,,,,,,,"CBRE",1,1065
"hil30342",,"Property","Cortland at the Hill","Cortland at the Hill","Atlanta-Sandy Springs-Roswell, GA","Buckhead","12060-7","12060",7,64324,"GA","Core-Plus",False,False,"Acquisition",0,False,"Stand-alone","Cortland at the Hill","CP Fund IV","Stabilized",2020-08-10 00:00:00.0000000,"B",4588719,1,3024,2019.000000,286,,2019-12-16 00:00:00.0000000,,202001,202501,"Johnson Ferry GA Partners LLC","84-3226484","1160 Johnson Ferry Rd","Sandy Springs","30342-2191","(404) 442-4887","","TheHill@cortland.com","cortland.com/the-hill","Tiffany Barnett","Michael Kolshak","David Wade","Weber Jodesty","Donna Milam","Ben Burgoon","Natalie Ross","Rosanne Ippolito","Zack Knab","Michael Woodburn","Corey Pilkenton","John Oubre","Brandon Center",True,"thehill",1375458.6780000001,12060,"Mid-Rise",286.00000000422312,"hil30342",2019-12-16 00:00:00.0000000,2020-08-10 00:00:00.0000000,1,"HMC",,False,795000,85202,0.025000000000000001,"gross-revenue",0.014999999999999999,,"upfront",70000,130,,,,"HMC",1,1073
"cors30350",,"Property","1000 Spalding","1000 Spalding","Atlanta-Sandy Springs-Roswell, GA","Sandy Springs","12060-8","12060",8,1314,"GA","Value-add",False,False,"Acquisition",0,False,"3rd Party Management","Project Rock",,"Stabilized",2022-06-18 00:00:00.0000000,"B",4971415,1,4257,1995.000000,250,252,2022-05-19 00:00:00.0000000,,202206,202501,"RRE Spalding Crossing Holdings LLC","81-3506451","1000 Spalding Dr","Atlanta","30350-5011","(404) 806-9848","","1000spalding@cortland.com","cortland.com/1000-spalding","Tiffany Barnett","Michael Kolshak","David Wade","Weber Jodesty","Kenzie Fisher","Ben Burgoon","Natalie Ross","Mindy Dollinger","Zack Knab","Michael Woodburn","Corey Pilkenton","John Oubre","Brandon Center",True,"spalding",,12060,"Garden-style",250.00000000507083,"cors30350",2022-05-19 00:00:00.0000000,2022-06-18 00:00:00.0000000,1,"Blackstone",,True,,,,,,,,,,,,,"Blackstone",1,3749
